場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
19,10,6,6.76,0.0,52.4kg,3,6.47,52.14,65.81,0.0,0.0,0.0,17,65.63,87.5,53,33.33,54.55,4796,A2,春園,功太  三重,三重,34,52.4,0.0,0,0.13
19,11,1,6.75,0.0,52.0kg,1,4.53,26.25,43.75,4.28,19.44,41.67,31,40.0,54.29,19,25.71,45.71,5102,B1,原田,雄次  福岡,福岡,28,52.0,0.0,0,0.18
19,11,2,6.72,0.0,54.1kg,6,6.97,55.26,77.63,5.77,35.9,51.28,35,32.26,51.61,41,34.29,65.71,4797,A2,中山,将  三重,三重,34,54.1,0.0,0,0.15
19,11,3,6.73,0.0,52.4kg,2,7.79,64.76,82.86,9.86,100.0,100.0,67,41.18,58.82,73,36.36,60.61,4926,A1,吉川,貴仁  三重,三重,32,52.4,0.0,0,0.14
19,11,4,6.74,0.0,53.2kg,3,4.29,22.86,37.14,2.84,10.53,15.79,40,57.58,75.76,15,23.53,38.24,5308,B1,藤森,拓海  福岡,福岡,21,53.2,0.0,0,0.19
19,11,5,6.72,0.0,52.4kg,5,6.06,46.55,62.93,6.13,50.0,62.5,28,21.21,54.55,16,15.38,20.51,4033,A1,伊藤,将吉  静岡,静岡,47,52.4,0.0,0,0.13
19,11,6,6.63,3.0,52.5kg,4,4.57,28.87,41.24,4.61,33.33,42.42,43,41.67,55.56,68,51.61,67.74,4054,B1,福嶋,智之  岡山,岡山,48,52.5,0.0,0,0.16
19,12,1,6.74,0.0,52.6kg,1,6.57,44.68,70.21,7.04,55.66,74.53,71,46.88,62.5,63,38.24,47.06,3961,A2,谷村,一哉  山口,山口,47,52.6,0.0,0,0.16
19,12,2,6.76,0.0,53.9kg,4,5.19,30.86,46.91,6.71,50.0,66.67,18,51.61,58.06,55,43.75,53.13,4090,A1,中村,尊  埼玉,埼玉,45,53.9,0.0,0,0.13
19,12,3,6.75,0.0,52.3kg,5,6.63,46.48,64.79,8.33,73.33,100.0,42,29.03,48.39,58,35.29,55.88,3952,A1,中澤,和志  埼玉,岩手,49,52.3,0.0,0,0.15
19,12,4,6.75,-0.5,52.5kg,2,6.78,52.46,68.85,6.7,60.61,75.76,24,47.37,60.53,67,50.0,65.63,4302,A2,西野,翔太  広島,広島,43,52.5,0.0,0,0.13
19,12,5,6.74,0.0,54.0kg,6,6.02,42.55,64.89,4.14,14.29,14.29,19,31.25,31.25,13,16.22,21.62,3792,A2,田中,豪  東京,東京,53,54.0,0.0,0,0.15
19,12,6,6.74,0.0,52.0kg,3,5.18,30.89,47.15,5.79,41.67,62.5,38,31.43,37.14,50,34.29,51.43,4674,A2,池田,剛規  福岡,福岡,38,52.0,0.0,0,0.15
